title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
Full Stack Development,Code Craft Computer Academy,,"₹ 8,000 - 12,500 /month",https://internshala.com/internship/detail/full-stack-development-internship-in-greater-noida-west-at-code-craft-computer-academy1784550010,Web Developer,"CSS, HTML, JavaScript, MongoDB, Node.js, React, Certificate, Informal dress code, Free snacks & beverages",css html javascript mongodb node.js react certificate informal dress code free snacks beverages,"['css', 'html', 'javascript', 'mongodb', 'node.js', 'react']"
Front End Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-part-time-front-end-development-internship-at-nayepankh-foundation1787056302,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Full Stack Development,Zryth Solutions Private Limited,,"₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-zryth-solutions-private-limited1787055688,Web Developer,"Cursor (GenAI), Data Structures, Django, FastAPI, Python, React, Certificate, Letter of recommendation",cursor genai data structures django fastapi python react certificate letter of recommendation,"['django', 'python', 'react']"
Full Stack Development,Devaashatha,,"₹ 5,000 - 6,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-full-stack-development-internship-at-devaashatha1787055418,Web Developer,"AngularJS, APIs, Bubble.io, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React, REST API",angularjs apis bubble.io css html javascript mongodb mysql node.js php python react rest api,"['api', 'css', 'html', 'javascript', 'mongodb', 'mysql', 'node.js', 'php', 'python', 'react', 'rest api']"
Web Development,NayePankh Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-nayepankh-foundation1787053646,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Backend Development,BookByChat,,"₹ 3,000 - 5,000 /month",https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-bookbychat1787053407,Web Developer,"Node.js, PostgreSQL, REST API, TypeScript, Certificate, Letter of recommendation, Flexible work hours",node.js postgresql rest api typescript certificate letter of recommendation flexible work hours,"['api', 'node.js', 'postgresql', 'rest api', 'typescript']"
Full Stack Development,GOWELLBEING HEALTH TECHNOLOGY APPLICATIONS PRIVATE LIMITED,,"₹ 3,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-gowellbeing-health-technology-applications-private-limited1787045248,Web Developer,"MongoDB, Node.js, React, TypeScript, Certificate, Letter of recommendation",mongodb node.js react typescript certificate letter of recommendation,"['mongodb', 'node.js', 'react', 'typescript']"
Java Development,Pledge India Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-java-development-internship-at-pledge-india-foundation1787049978,Web Developer,"HTML, Java, Certificate, Letter of recommendation, Flexible work hours, Job offer",html java certificate letter of recommendation flexible work hours job offer,"['html', 'java']"
Full Stack Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-queens-of-change-foundation1787049365,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Backend Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-queens-of-change-foundation1787049346,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
Web Development,Queens Of Change Foundation,,Unpaid,https://internshala.com/internship/detail/work-from-home-web-development-internship-at-queens-of-change-foundation1787049325,Web Developer,"HTML, Certificate, Letter of recommendation, Flexible work hours, Job offer",html certificate letter of recommendation flexible work hours job offer,['html']
